text,text_lower,label
1,1,LOC
POLÍTICA Y GOBIERNO,política y gobierno,ORG
Cuarta Transformación,cuarta transformación,ORG
Ejecutivo Federal,ejecutivo federal,ORG
Sin duda,sin duda,MISC
Gobierno Federal,gobierno federal,LOC
A la par,a la par,MISC
Algunas de ellas,algunas de ellas,MISC
Comisión Nacional para el Desarrollo de los Pueblos Indígenas,comisión nacional para el desarrollo de los pueblos indígenas,ORG
Instituto Nacional de los Pueblos Indígenas,instituto nacional de los pueblos indígenas,ORG
ERRADICAR LA CORRUPCIÓN,erradicar la corrupción,MISC
DISPENDIO,dispendio,ORG
El Gobierno de México,el gobierno de méxico,ORG
En ese sentido,en ese sentido,MISC
Nueva Ética Pública,nueva ética pública,MISC
Administración Pública Federal,administración pública federal,ORG
APF,apf,ORG
El 5 de febrero de 2019,el 5 de febrero de 2019,MISC
Diario Oficial de la Federación,diario oficial de la federación,MISC
DOF,dof,MISC
Código,código,MISC
Ética,ética,MISC
Gobierno Federal,gobierno federal,LOC
Comités de Ética y Prevención de Conflictos de Interés,comités de ética y prevención de conflictos de interés,ORG
El 22 de abril de 2019,el 22 de abril de 2019,MISC
Guía para la elaboración y actualización del,guía para la elaboración y actualización del,MISC
Código,código,MISC
Conducta,conducta,MISC
Administración Pública Federal,administración pública federal,ORG
EstadoÓ. Ésta,estadoó. ésta,LOC
Código de Conducta,código de conducta,MISC
También,también,MISC
APF,apf,ORG
Declaraciones Patrimoniales,declaraciones patrimoniales,ORG
Interés.,interés.,MISC
Ley General de Responsabilidades Administrativas,ley general de responsabilidades administrativas,MISC
Se ha fortalecido la vigilancia,se ha fortalecido la vigilancia,MISC
APF,apf,ORG
A través de 213 Órganos Internos de Control,a través de 213 órganos internos de control,MISC
OIC,oic,ORG
OIC,oic,ORG
Secretaría de la Función Pública,secretaría de la función pública,MISC
SFP,sfp,ORG
Entre el 1,entre el 1,MISC
—a,—a,MISC
Unidades de Administración,unidades de administración,ORG
Finanzas—,finanzas—,MISC
OIC,oic,ORG
Estado,estado,LOC
Gobierno de México,gobierno de méxico,LOC
De las acciones 1/,de las acciones 1/,MISC
Disponible en el sitio,disponible en el sitio,MISC
APF,apf,ORG
Por citar algunos ejemplos,por citar algunos ejemplos,MISC
Nuevo Aeropuerto Internacional de la Ciudad de México,nuevo aeropuerto internacional de la ciudad de méxico,LOC
Órganos Reguladores,órganos reguladores,ORG
Centralmente,centralmente,MISC
De ellas,de ellas,MISC
Además,además,MISC
De estos cuatro,de estos cuatro,MISC
Además,además,MISC
Cuenta Pública 2018,cuenta pública 2018,MISC
Se concluyó el seguimiento de 401,se concluyó el seguimiento de 401,MISC
Están en proceso de atención,están en proceso de atención,MISC
Entre el 1,entre el 1,MISC
Esto debido a que no,esto debido a que no,MISC
Órganos Estatales de Control,órganos estatales de control,ORG
Contralorías Estatales,contralorías estatales,ORG
Para su solventación,para su solventación,MISC
Se tienen en proceso,se tienen en proceso,MISC
Órganos Estatales de Control,órganos estatales de control,ORG
Con respecto a las contrataciones públicas,con respecto a las contrataciones públicas,MISC
Estado,estado,LOC
A la par,a la par,MISC
Gobierno Federal,gobierno federal,LOC
Con motivo de las observaciones determinadas,con motivo de las observaciones determinadas,MISC
Con el propósito de asumir un papel activo,con el propósito de asumir un papel activo,MISC
Gobierno Federal,gobierno federal,LOC
El relanzamiento de la Función Pública,el relanzamiento de la función pública,MISC
Para lograrlo,para lograrlo,MISC
Impulsar,impulsar,MISC
Austeridad Republicana,austeridad republicana,MISC
Ciudadanizar el Combate a la Corrupción,ciudadanizar el combate a la corrupción,LOC
Servicio Profesional de Carrera,servicio profesional de carrera,ORG
; 4) Democratizar las Tecnologías,; 4) democratizar las tecnologías,LOC
", 5) Proteger",", 5) proteger",LOC
IMPULSAR,impulsar,ORG
AUSTERIDAD REPUBLICANA,austeridad republicana,ORG
Austeridad Republicana,austeridad republicana,ORG
Estado,estado,LOC
Tampoco,tampoco,MISC
En este sentido,en este sentido,MISC
Presupuesto de Egresos de la Federación,presupuesto de egresos de la federación,MISC
